ds,y
2015-01-01,1.79
2015-01-02,1.71
2015-01-03,1.88
2015-01-04,1.87
2015-01-05,2.17
2015-01-06,2.16
2015-01-07,3.4
2015-01-08,2.28
2015-01-09,2.3
2015-01-10,2.06
2015-01-11,2.03
2015-01-12,1.91
2015-01-13,1.86
2015-01-14,1.96
2015-01-15,1.84
2015-01-16,1.76
2015-01-17,1.79
2015-01-18,2.01
2015-01-19,2.13
2015-01-20,2.2
2015-01-21,2.31
2015-01-22,2.15
2015-01-23,2.61
2015-01-24,2.37
2015-01-25,2.15
2015-01-26,2.16
2015-01-27,2.09
2015-01-28,2.07
2015-01-29,1.98
2015-01-30,1.75
2015-01-31,1.8
2015-02-01,2.04
2015-02-02,2.08
2015-02-03,2.03
2015-02-04,2.12
2015-02-05,2.2
2015-02-06,2.18
2015-02-07,2.09
2015-02-08,2.1
2015-02-09,2.11
2015-02-10,2.09
2015-02-11,1.95
2015-02-12,1.89
2015-02-13,1.98
2015-02-14,1.92
2015-02-15,1.7
2015-02-16,1.9
2015-02-17,2.48
2015-02-18,2.24
2015-02-19,2.3
2015-02-20,2.17
2015-02-21,2.48
2015-02-22,2.21
2015-02-23,2.16
2015-02-24,2.15
2015-02-25,1.99
2015-02-26,1.89
2015-02-27,1.72
2015-02-28,1.56
2015-03-01,1.69
2015-03-02,2.02
2015-03-03,2.13
2015-03-04,1.79
2015-03-05,2.04
2015-03-06,2.09
2015-03-07,2.03
2015-03-08,2.08
2015-03-09,2.02
2015-03-10,2.06
2015-03-11,2.12
2015-03-12,1.83
2015-03-13,1.85
2015-03-14,1.79
2015-03-15,3.61
2015-03-16,2.56
2015-03-17,1.86
2015-03-18,1.91
2015-03-19,2.07
2015-03-20,1.97
2015-03-21,2.21
2015-03-22,2.14
2015-03-23,2.2
2015-03-24,2.03
2015-03-25,2.12
2015-03-26,1.94
2015-03-27,1.81
2015-03-28,1.77
2015-03-29,1.79
2015-03-30,1.87
2015-03-31,1.88
2015-04-01,1.89
2015-04-02,1.83
2015-04-03,1.82
2015-04-04,1.86
2015-04-05,2.0
2015-04-06,1.93
2015-04-07,2.12
2015-04-08,2.17
2015-04-09,2.1
2015-04-10,2.21
2015-04-11,1.96
2015-04-12,1.88
2015-04-13,1.84
2015-04-14,1.85
2015-04-15,2.15
2015-04-16,2.09
2015-04-17,2.17
2015-04-18,2.02
2015-04-19,2.07
2015-04-20,2.17
2015-04-21,2.22
2015-04-22,2.84
2015-04-23,2.13
2015-04-24,2.03
2015-04-25,1.98
2015-04-26,1.97
2015-04-27,1.9
2015-04-28,1.87
2015-04-29,1.66
2015-04-30,1.83
2015-05-01,1.7
2015-05-02,1.8
2015-05-03,1.79
2015-05-04,1.99
2015-05-05,2.11
2015-05-06,2.13
2015-05-07,2.14
2015-05-08,2.22
2015-05-09,2.05
2015-05-10,2.0
2015-05-11,2.06
2015-05-12,2.08
2015-05-13,1.71
2015-05-14,1.94
2015-05-15,1.79
2015-05-16,1.85
2015-05-17,1.93
2015-05-18,2.06
2015-05-19,2.2
2015-05-20,2.16
2015-05-21,2.05
2015-05-22,2.07
2015-05-23,1.8
2015-05-24,1.97
2015-05-25,1.92
2015-05-26,1.82
2015-05-27,1.76
2015-05-28,1.81
2015-05-29,1.64
2015-05-30,1.45
2015-05-31,1.75
2015-06-01,1.89
2015-06-02,2.07
2015-06-03,2.14
2015-06-04,2.3
2015-06-05,2.27
2015-06-06,2.27
2015-06-07,2.35
2015-06-08,2.16
2015-06-09,2.08
2015-06-10,2.09
2015-06-11,2.07
2015-06-12,2.02
2015-06-13,1.9
2015-06-14,1.82
2015-06-15,2.0
2015-06-16,2.06
2015-06-17,2.34
2015-06-18,2.02
2015-06-19,2.17
2015-06-20,2.03
2015-06-21,2.53
2015-06-22,1.74
2015-06-23,1.67
2015-06-24,1.7
2015-06-25,1.7
2015-06-26,1.65
2015-06-27,1.6
2015-06-28,1.5
2015-06-29,1.57
2015-06-30,1.94
2015-07-01,1.98
