ds,yhat
2015-01-01,-2.9765432810281727
2015-01-02,-2.319605147851062
2015-01-03,-1.7146808054726321
2015-01-04,-3.1283411033939803
2015-01-05,-1.857949504512133
2015-01-06,-1.5668637817916364
2015-01-07,-2.1609810992612877
2015-01-08,-2.722614457178479
2015-01-09,-2.1609149149024454
2015-01-10,-1.647656849692838
2015-01-11,-3.1472870984360686
2015-01-12,-1.9552490919601138
2015-01-13,-1.73322863252727
2015-01-14,-2.385736108416257
2015-01-15,-2.9940122411065553
2015-01-16,-2.466471105716764
2015-01-17,-1.9744972376684622
2015-01-18,-3.4824974662777572
2015-01-19,-2.28621862092595
2015-01-20,-2.0479780369575975
2015-01-21,-2.673222162965682
2015-01-22,-3.2444010891717463
2015-01-23,-2.6713736569943
2015-01-24,-2.127161051726449
2015-01-25,-3.5779507466643814
2015-01-26,-2.3213632766392567
2015-01-27,-2.0216301682150144
2015-01-28,-2.5860997576874514
2015-01-29,-3.0990601363665395
2015-01-30,-2.4720952547652484
2015-01-31,-1.8797933740901187
2015-02-01,-3.2897109000450513
2015-02-02,-2.000605093471545
2015-02-03,-1.6775848244860905
2015-02-04,-2.2285967425832505
2015-02-05,-2.7382365292989066
2015-02-06,-2.1181014685631236
2015-02-07,-1.5425034994129183
2015-02-08,-2.9784455382723225
2015-02-09,-1.7238741024510003
2015-02-10,-1.442856738888628
2015-02-11,-2.0421007886723133
2015-02-12,-2.6048021583122396
2015-02-13,-2.0410392130002077
2015-02-14,-1.5235297453982297
2015-02-15,-3.017652539704389
2015-02-16,-1.819745275413886
2015-02-17,-1.5923260044135
2015-02-18,-2.240653514129988
2015-02-19,-2.846614116614713
2015-02-20,-2.3191489655884636
2015-02-21,-1.8300389870839011
2015-02-22,-3.3439482442749204
2015-02-23,-2.15673696821779
2015-02-24,-1.9306911746422954
2015-02-25,-2.571084071780312
2015-02-26,-3.1600568978611383
2015-02-27,-2.6070335899599817
2015-02-28,-2.0844868595507045
2015-03-01,-3.5579571581694944
2015-03-02,-2.3243365797016544
2015-03-03,-2.0470655600861614
2015-03-04,-2.63265861707276
2015-03-05,-3.16454787115381
2015-03-06,-2.5534598836254734
2015-03-07,-1.97314451886856
2015-03-08,-3.390358409822192
2015-03-09,-2.1031161003804684
2015-03-10,-1.7758576542543678
2015-03-11,-2.315949776329716
2015-03-12,-2.8075098431755325
2015-03-13,-2.161768867747194
2015-03-14,-1.5527924151945585
2015-03-15,-2.9474621718703276
2015-03-16,-1.6437311753876758
2015-03-17,-1.3058012449818204
2015-03-18,-1.840639232348377
2015-03-19,-2.33182090346254
2015-03-20,-1.68991774919184
2015-03-21,-1.0882448974631225
2015-03-22,-2.4928718948200195
2015-03-23,-1.200908371301595
2015-03-24,-0.8757121053151211
2015-03-25,-1.4234350903596562
2015-03-26,-1.9268954315876896
2015-03-27,-1.2959894548879838
2015-03-28,-0.7034613814513353
2015-03-29,-2.1149316376041636
2015-03-30,-0.8271952590019129
2015-03-31,-0.5034375117227881
2015-04-01,-1.0497821111205043
2015-04-02,-1.5491598255539674
2015-04-03,-0.9117119880952598
2015-04-04,-0.31054658678229474
2015-04-05,-1.7117484880545963
2015-04-06,-0.41265588913241746
2015-04-07,-0.07705089099740992
2015-04-08,-0.6116804495210526
2015-04-09,-1.1000964385605259
2015-04-10,-0.45303040726018784
2015-04-11,0.15587837747222366
2015-04-12,-1.2399010654620488
2015-04-13,0.06195561243583825
2015-04-14,0.39745738810284803
2015-04-15,-0.1402076118154829
2015-04-16,-0.634501752382548
2015-04-17,0.004092291086963851
2015-04-18,0.6023425313172233
2015-04-19,-0.8057232047077343
2015-04-20,0.48291698880983946
2015-04-21,0.8050899865764918
2015-04-22,0.2548985656211775
2015-04-23,-0.2501363749588963
2015-04-24,0.3805224664278688
2015-04-25,0.9746650571185982
2015-04-26,-0.432693371488754
2015-04-27,0.8623847439262309
2015-04-28,1.1975334972691172
2015-04-29,0.6675194493409513
2015-04-30,0.19035171294801634
2015-05-01,0.8568520724105191
2015-05-02,1.4948680795109779
2015-05-03,0.13922837385899012
2015-05-04,1.4934291045281904
2015-05-05,1.8944046779940589
2015-05-06,1.4359678038349046
2015-05-07,1.0349313999473968
2015-05-08,1.780698170766306
2015-05-09,2.499500502747172
2015-05-10,1.2243894061222547
2015-05-11,2.6569606496801397
2015-05-12,3.132170389224193
2015-05-13,2.741824165013105
2015-05-14,2.4007505898133643
2015-05-15,3.196444189275124
2015-05-16,3.9533586114286723
2015-05-17,2.702947470046829
2015-05-18,4.145439507588687
2015-05-19,4.614698961679562
2015-05-20,4.201753678102688
2015-05-21,3.821001082471395
2015-05-22,4.559875421101282
2015-05-23,5.243156626987099
2015-05-24,3.903017431216968
2015-05-25,5.2407949995430805
2015-05-26,5.591837824899471
2015-05-27,5.0490105270045085
2015-05-28,4.52886704169639
2015-05-29,5.121276237670152
2015-05-30,5.653681186863282
2015-05-31,4.161089803315423
2015-06-01,5.347784422186452
2015-06-02,5.552102508184991
2015-06-03,4.869872732704428
