ds,yhat
2019-09-19,1.5120298890188866
2019-09-20,1.3125199965358014
2019-09-21,0.9798810407879246
2019-09-22,0.7302696194012874
2019-09-23,0.6369567886069668
2019-09-24,0.6183458475697542
2019-09-25,0.37888932744436654
2019-09-26,0.3444582940215379
2019-09-27,0.2114598624800756
2019-09-28,-0.036613075770871806
2019-09-29,-0.18632069237190652
2019-09-30,-0.16740783331284234
2019-10-01,-0.0647013756029578
2019-10-02,-0.17710435489613657
2019-10-03,-0.08213621558586204
2019-10-04,-0.08672575301120178
2019-10-05,-0.21057515558007983
2019-10-06,-0.2432182066280445
2019-10-07,-0.1170789458425438
2019-10-08,0.08069438576904464
2019-10-09,0.04933981289614178
2019-10-10,0.20982452342864105
2019-10-11,0.25423556244244083
2019-10-12,0.1623766236200405
2019-10-13,0.1447091802684741
2019-10-14,0.2692796615961013
2019-10-15,0.4498585080766692
2019-10-16,0.3869595271200275
2019-10-17,0.5032902900483462
2019-10-18,0.4929277268249999
2019-10-19,0.3379018406147387
2019-10-20,0.25106636960017736
2019-10-21,0.30295247931113933
2019-10-22,0.4098334656964562
2019-10-23,0.2746710238140111
2019-10-24,0.32249588348705654
2019-10-25,0.24951889763381563
2019-10-26,0.03965725034225956
2019-10-27,-0.09264387435540405
2019-10-28,-0.07559683762755631
2019-10-29,0.007964614495338973
2019-10-30,-0.1384856143862762
2019-10-31,-0.08979098533649774
2019-11-01,-0.14999536940907027
2019-11-02,-0.3357998419040633
2019-11-03,-0.43371362833799815
2019-11-04,-0.37320285617533167
2019-11-05,-0.2386094716045537
2019-11-06,-0.3281706313529642
2019-11-07,-0.21858714400076956
2019-11-08,-0.2158467108800534
2019-11-09,-0.3386195343735492
2019-11-10,-0.3753485150323319
2019-11-11,-0.25733952176177693
2019-11-12,-0.07062578633415012
2019-11-13,-0.11493829543122946
2019-11-14,0.03176787433063771
2019-11-15,0.06252438456455375
2019-11-16,-0.042020827239183295
2019-11-17,-0.07067812746075372
2019-11-18,0.04519932118924154
2019-11-19,0.21984709163645974
2019-11-20,0.15410545958508504
2019-11-21,0.2708704272675181
2019-11-22,0.26427373889900874
2019-11-23,0.1162744966438902
2019-11-24,0.03954081131776395
2019-11-25,0.104317111589403
2019-11-26,0.22650458122650352
2019-11-27,0.10862473317322635
2019-11-28,0.1752183566728199
2019-11-29,0.12197535511316729
2019-11-30,-0.06772041347395696
2019-12-01,-0.179951479808206
2019-12-02,-0.14343545156173718
2019-12-03,-0.04147356020733775
2019-12-04,-0.1710082680146373
2019-12-05,-0.1072371573592922
2019-12-06,-0.15448730448576897
2019-12-07,-0.32966601238869364
2019-12-08,-0.41940833990116505
2019-12-09,-0.35322509163156723
2019-12-10,-0.21542352116022573
2019-12-11,-0.3041308971376032
2019-12-12,-0.19586928043559418
2019-12-13,-0.19638698470124022
2019-12-14,-0.32406396050811914
2019-12-15,-0.3670129723064891
2019-12-16,-0.2561816728826777
2019-12-17,-0.0772292399649526
2019-12-18,-0.12950906328491207
2019-12-19,0.009392944188410274
2019-12-20,0.032857865218092516
2019-12-21,-0.0781470107963173
2019-12-22,-0.11215183719482782
2019-12-23,-0.00027628763043116567
2019-12-24,0.1718960505067973
2019-12-25,0.10532949739764574
2019-12-26,0.2229850012245127
2019-12-27,0.21899969915369275
2019-12-28,0.07527987927427038
2019-12-29,0.0043856779529230505
2019-12-30,0.07640299011932804
2019-12-31,0.207029875174583
2020-01-01,0.09854724692228081
2020-01-02,0.17522583741610098
2020-01-03,0.13246468838881229
2020-01-04,-0.04665499115380134
2020-01-05,-0.14852106204196203
2020-01-06,-0.10215021483274853
2020-01-07,0.008871981149481359
2020-01-08,-0.11265869280992027
2020-01-09,-0.04217202265539417
2020-01-10,-0.08419179977402662
2020-01-11,-0.25578178906398413
2020-01-12,-0.34368976001431245
2020-01-13,-0.277493301398874
2020-01-14,-0.1415336437279791
2020-01-15,-0.23389783641003234
2020-01-16,-0.13103712709215948
2020-01-17,-0.13858736095677848
2020-01-18,-0.2747783006345183
2020-01-19,-0.32753962819753935
2020-01-20,-0.22760856887089276
2020-01-21,-0.06041261992252957
2020-01-22,-0.1250586844373936
2020-01-23,0.001122008341590125
2020-01-24,0.01176683017628434
2020-01-25,-0.1119054171095045
2020-01-26,-0.1581841730205603
2020-01-27,-0.05796470416276925
2020-01-28,0.10337263204054241
2020-01-29,0.026970078075911244
2020-01-30,0.1359378821999684
2020-01-31,0.12453141078625042
2020-02-01,-0.025257448970411767
2020-02-02,-0.10081626376244118
2020-02-03,-0.0320399552277956
2020-02-04,0.09675660680985163
2020-02-05,-0.012188960616951905
2020-02-06,0.06532281539156129
2020-02-07,0.024594723170747554
2020-02-08,-0.15140985111488717
2020-02-09,-0.24921439101527842
2020-02-10,-0.19798500928967894
2020-02-11,-0.08146637816622092
2020-02-12,-0.19702737079050664
2020-02-13,-0.12026394014483467
2020-02-14,-0.15586369966390995
2020-02-15,-0.3210482946664142
2020-02-16,-0.4027141646551198
2020-02-17,-0.3305754704980187
2020-02-18,-0.18908149430496002
2020-02-19,-0.2764386644786732
2020-02-20,-0.16918550756735684
2020-02-21,-0.1730259048395204
2020-02-22,-0.30623776542637604
2020-02-23,-0.3567788150172242
2020-02-24,-0.2553944140535467
2020-02-25,-0.08750085765160419
2020-02-26,-0.15217542184476007
2020-02-27,-0.02670250198309404
2020-02-28,-0.017382163849502363
2020-02-29,-0.1429190300766547
2020-03-01,-0.19151385343708882
2020-03-02,-0.09396316416580235
2020-03-03,0.06445927816842445
2020-03-04,-0.01499210963013832
2020-03-05,0.09090831277572316
2020-03-06,0.07653212098244479
2020-03-07,-0.0760141974907742
2020-03-08,-0.15400764286672222
2020-03-09,-0.08723900539030778
2020-03-10,0.04007218850072311
2020-03-11,-0.06975216686075181
2020-03-12,0.0075584386233666645
2020-03-13,-0.032637447245061235
2020-03-14,-0.20733782216302302
2020-03-15,-0.30304635152949566
2020-03-16,-0.24892952992019277
2020-03-17,-0.12875371679276315
2020-03-18,-0.23993154194569422
2020-03-19,-0.15812516243599475
2020-03-20,-0.1881107926012039
2020-03-21,-0.34722055758164727
2020-03-22,-0.4224822375612535
2020-03-23,-0.3437606518967939
2020-03-24,-0.1956729762141043
2020-03-25,-0.2766081422627985
2020-03-26,-0.16329863333940514
2020-03-27,-0.1616500796887616
2020-03-28,-0.29014580862813066
2020-03-29,-0.3369481082669697
2020-03-30,-0.23300119572953987
2020-03-31,-0.0639094355368093
2020-04-01,-0.128922181541822
2020-04-02,-0.005474710510235306
2020-04-03,8.298781297648439e-06
2020-04-04,-0.13127132293445218
2020-04-05,-0.18757243050252978
2020-04-06,-0.09971039916531162
2020-04-07,0.04706452849879989
2020-04-08,-0.04592508821045403
2020-04-09,0.044660464930865895
2020-04-10,0.013353008464640062
2020-04-11,-0.15753545269829222
2020-04-12,-0.2550332218556788
2020-04-13,-0.20864252170692565
2020-04-14,-0.10225895502676946
2020-04-15,-0.23320701781380732
2020-04-16,-0.17683967234413145
2020-04-17,-0.23740662733839168
2020-04-18,-0.43150745251111267
2020-04-19,-0.5452771977909997
2020-04-20,-0.5074710884818041
2020-04-21,-0.401493334125812
2020-04-22,-0.524425848671411
2020-04-23,-0.4516408140998782
2020-04-24,-0.4876738894197802
2020-04-25,-0.6496738418165771
2020-04-26,-0.7245489036307959
2020-04-27,-0.642113359105011
2020-04-28,-0.48700643518468706
2020-04-29,-0.5577134615841617
2020-04-30,-0.4311374697420633
2020-05-01,-0.41342653966761556
2020-05-02,-0.5233740070300902
2020-05-03,-0.5495133040434382
2020-05-04,-0.42321249928897575
2020-05-05,-0.2305422169666524
2020-05-06,-0.2712485035269333
2020-05-07,-0.12328036165606096
2020-05-08,-0.0935787103261009
2020-05-09,-0.20144518659988453
2020-05-10,-0.2356136775911141
2020-05-11,-0.12733053710430214
2020-05-12,0.0377821994084146
2020-05-13,-0.039251319807659904
2020-05-14,0.06469640462234144
2020-05-15,0.04404217774893642
2020-05-16,-0.11891102012991585
2020-05-17,-0.21108830495687855
2020-05-18,-0.1617731548825627
2020-05-19,-0.0545266426952417
2020-05-20,-0.18622600977915535
2020-05-21,-0.13167065122832008
2020-05-22,-0.19446020426629057
2020-05-23,-0.39046072694747275
2020-05-24,-0.5049791305668806
2020-05-25,-0.4659488746834109
2020-05-26,-0.3558981555359516
2020-05-27,-0.4710293529543632
2020-05-28,-0.38585655076199216
2020-05-29,-0.40410444260714284
2020-05-30,-0.5421840162197762
2020-05-31,-0.5863645265692927
2020-06-01,-0.46594460032568535
2020-06-02,-0.26519385850605337
2020-06-03,-0.2823943523238402
2020-06-04,-0.09442934711150744
2020-06-05,-0.007624181958281781
2020-06-06,-0.04115580658467616
2020-06-07,0.01584765544192563
2020-06-08,0.2312125759043816
2020-06-09,0.5178572545476018
2020-06-10,0.5748296367360125
2020-06-11,0.8227955574965846
2020-06-12,0.9532705828084456
2020-06-13,0.9452767303271977
2020-06-14,1.0083007506999042
2020-06-15,1.2092474629568075
