ds,yhat
2019-09-19,0.08674773234966061
2019-09-20,0.0721236167201808
2019-09-21,-0.010489722490058449
2019-09-22,0.07010142985558887
2019-09-23,0.08915002416641285
2019-09-24,0.05949301548131877
2019-09-25,0.0920212622766315
2019-09-26,0.1302568516992141
2019-09-27,0.1133637719070241
2019-09-28,0.02795403193030219
2019-09-29,0.1052620355170461
2019-09-30,0.12059013614421521
2019-10-01,0.08683238722812545
2019-10-02,0.11494324480807852
2019-10-03,0.1485135485431609
2019-10-04,0.1267797345132744
2019-10-05,0.03642841615908066
2019-10-06,0.10876917788270458
2019-10-07,0.11917854769666217
2019-10-08,0.08062220223394245
2019-10-09,0.10412678685762344
2019-10-10,0.13334077724509333
2019-10-11,0.1075562407522544
2019-10-12,0.013507791772553492
2019-10-13,0.0825445460646861
2019-10-14,0.09007347259890484
2019-10-15,0.049081209661701306
2019-10-16,0.07060114797239674
2019-10-17,0.09828814367085842
2019-10-18,0.07142684225652558
2019-10-19,-0.023264232780520713
2019-10-20,0.045540024685762424
2019-10-21,0.05321558647456383
2019-10-22,0.012712190285767398
2019-10-23,0.03502162781333916
2019-10-24,0.06375374867489797
2019-10-25,0.03814612424910303
2019-10-26,-0.055130512793186766
2019-10-27,0.015201760207508536
2019-10-28,0.024473599494494257
2019-10-29,-0.01440754234418102
2019-10-30,0.009511905077400573
2019-10-31,0.0398085107760983
2019-11-01,0.015692204230815646
2019-11-02,-0.07618778253478385
2019-11-03,-0.0045685910599426
2019-11-04,0.005871890953572658
2019-11-05,-0.03196103421666417
2019-11-06,-0.007109882210412109
2019-11-07,0.02401137571910342
2019-11-08,0.0006269859927150283
2019-11-09,-0.09059548018689775
2019-11-10,-0.018371755279988793
2019-11-11,-0.007356287000586607
2019-11-12,-0.04461939342623423
2019-11-13,-0.01917937914492001
2019-11-14,0.012572737475209716
2019-11-15,-0.010118138382829111
2019-11-16,-0.10056702005408956
2019-11-17,-0.027476299837167897
2019-11-18,-0.015491848676995122
2019-11-19,-0.05168069319080841
2019-11-20,-0.025063470415230115
2019-11-21,0.007960701149471897
2019-11-22,-0.013377084556226864
2019-11-23,-0.10241110691856724
2019-11-24,-0.027868029818882874
2019-11-25,-0.014422371752038823
2019-11-26,-0.04917339125895015
2019-11-27,-0.02117661132334806
2019-11-28,0.013132351061292954
2019-11-29,-0.007052399745199552
2019-11-30,-0.09510145611325521
2019-12-01,-0.019775939772601572
2019-12-02,-0.005781818461033664
2019-12-03,-0.040245698387728186
2019-12-04,-0.012245350032714625
2019-12-05,0.021767335193966116
2019-12-06,0.0009768797205759756
2019-12-07,-0.08798965586334233
2019-12-08,-0.01388815848031532
2019-12-09,-0.0014116405736839931
2019-12-10,-0.0376661091077436
2019-12-11,-0.011701383739069217
2019-12-12,0.020065443941450316
2019-12-13,-0.0031401559409346084
2019-12-14,-0.09464490926374365
2019-12-15,-0.0231542638047897
2019-12-16,-0.013307738118954629
2019-12-17,-0.05215606068651813
2019-12-18,-0.02869332315040285
2019-12-19,0.0007181968172264349
2019-12-20,-0.024643485652782147
2019-12-21,-0.11805612921585286
2019-12-22,-0.04818101901335198
2019-12-23,-0.03961942648632717
2019-12-24,-0.07939071294278957
2019-12-25,-0.056465274098201346
2019-12-26,-0.02718995936543769
2019-12-27,-0.05227997822767152
2019-12-28,-0.14501513039931044
2019-12-29,-0.07406749622820841
2019-12-30,-0.06405761042829342
2019-12-31,-0.10203206410139203
2020-01-01,-0.07699574658169633
2020-01-02,-0.045336380752129396
2020-01-03,-0.06781538903173726
2020-01-04,-0.15776295585474728
2020-01-05,-0.08390445562635356
2020-01-06,-0.07091530423687614
2020-01-07,-0.10589721554537176
2020-01-08,-0.07790911121498507
2020-01-09,-0.04339037374789281
2020-01-10,-0.06315051441532168
2020-01-11,-0.1505631537316664
2020-01-12,-0.07439151169667639
2020-01-13,-0.0593424897710176
2020-01-14,-0.09254867982882489
2020-01-15,-0.06307988675492143
2020-01-16,-0.02738521196609123
2020-01-17,-0.046276420861575546
2020-01-18,-0.13312216214063394
2020-01-19,-0.056673890623051934
2020-01-20,-0.04162055942671155
2020-01-21,-0.07506506063820884
2020-01-22,-0.04605565073061377
2020-01-23,-0.011010029391829712
2020-01-24,-0.0307061111495807
2020-01-25,-0.11847735344663729
2020-01-26,-0.04303978975174697
2020-01-27,-0.029047801933468637
2020-01-28,-0.06357157833935549
2020-01-29,-0.03562946384976784
2020-01-30,-0.001612843412173208
2020-01-31,-0.022277577692975115
2020-02-01,-0.11093983235155194
2020-02-02,-0.03630344064893807
2020-02-03,-0.02301582422625507
2020-02-04,-0.05814541724810088
2020-02-05,-0.03071380429772541
2020-02-06,0.0028797767738994243
2020-02-07,-0.01813246655295713
2020-02-08,-0.10708204265373465
2020-02-09,-0.03269076031098099
2020-02-10,-0.019625788701781922
2020-02-11,-0.05497616776961091
2020-02-12,-0.02778401068607134
2020-02-13,0.005531918488240008
2020-02-14,-0.015813813146096388
2020-02-15,-0.10516765687349074
2020-02-16,-0.03126295481355472
2020-02-17,-0.01877441183456994
2020-02-18,-0.054794162364883325
2020-02-19,-0.028362689637143623
2020-02-20,0.004107708870431791
2020-02-21,-0.018157160433386974
2020-02-22,-0.1084879763005047
2020-02-23,-0.035598183908231024
2020-02-24,-0.024139033113338003
2020-02-25,-0.061176352146405086
2020-02-26,-0.03572229262453089
2020-02-27,-0.004159713953753665
2020-02-28,-0.02723324841954672
2020-02-29,-0.11824490642100072
2020-03-01,-0.04588137419392353
2020-03-02,-0.03477003570958244
2020-03-03,-0.07195666477193
2020-03-04,-0.046437992384894
2020-03-05,-0.01458678941588316
2020-03-06,-0.03714348106882731
2020-03-07,-0.12741213250804592
2020-03-08,-0.05408794262098485
2020-03-09,-0.04181326786118904
2020-03-10,-0.07765511832225144
2020-03-11,-0.05063733332207107
2020-03-12,-0.017165084690229933
2020-03-13,-0.03801573857000755
2020-03-14,-0.12653393454861295
2020-03-15,-0.05145804380508577
2020-03-16,-0.037475057095212885
2020-03-17,-0.07169687707934456
2020-03-18,-0.04319125713617418
2020-03-19,-0.008405071211045913
2020-03-20,-0.028153982270765238
2020-03-21,-0.11581640424971436
2020-03-22,-0.04015895344680932
2020-03-23,-0.02589047164190666
2020-03-24,-0.06013762304707343
2020-03-25,-0.031975330177757194
2020-03-26,0.0021502493139939696
2020-03-27,-0.018567874211846386
2020-03-28,-0.10749163918207055
2020-03-29,-0.033363763900913446
2020-03-30,-0.02086236588745932
2020-03-31,-0.05707735673075458
2020-04-01,-0.03104185653701851
2020-04-02,0.0008436966371844073
2020-04-03,-0.02217930515301519
2020-04-04,-0.11342309852000068
2020-04-05,-0.04158077009347942
2020-04-06,-0.03128227382651386
2020-04-07,-0.06957219020838092
2020-04-08,-0.04544243054517611
2020-04-09,-0.015257522456785667
2020-04-10,-0.03974648764791459
2020-04-11,-0.13219914375526923
2020-04-12,-0.06129395837648845
2020-04-13,-0.0516544668240248
2020-04-14,-0.09032718421411276
2020-04-15,-0.06631420678208658
2020-04-16,-0.03599813743862605
2020-04-17,-0.06013335356663341
2020-04-18,-0.15204146245398376
2020-04-19,-0.08044765933038366
2020-04-20,-0.07000719928659196
2020-04-21,-0.10781060315570902
2020-04-22,-0.08290517500075216
2020-04-23,-0.05171833699330508
2020-04-24,-0.07504727922572148
2020-04-25,-0.1662528173382928
2020-04-26,-0.0940846545608201
2020-04-27,-0.0832351337786109
2020-04-28,-0.12081448785977662
2020-04-29,-0.09588086213815782
2020-04-30,-0.06486282250619005
2020-05-01,-0.08854844197345928
2020-05-02,-0.18027888155281732
2020-05-03,-0.10877367753343772
2020-05-04,-0.0986848282096838
2020-05-05,-0.13707268739005915
2020-05-06,-0.11293692925653724
2020-05-07,-0.08264028039418052
2020-05-08,-0.10689908629020443
2020-05-09,-0.19897859526121595
2020-05-10,-0.12752013241351737
2020-05-11,-0.1170972116636363
2020-05-12,-0.15469354365789958
2020-05-13,-0.12923615148183637
2020-05-14,-0.09702123545935325
2020-05-15,-0.11870679941093198
2020-05-16,-0.20750986738790456
2020-05-17,-0.1320354119958541
2020-05-18,-0.11683399460671476
2020-05-19,-0.1488810326347204
2020-05-20,-0.1171108692880982
2020-05-21,-0.07784325779566831
