ds,yhat
2019-09-19,1.8004944238353575
2019-09-20,1.3979788316385575
2019-09-21,1.3602552993056332
2019-09-22,1.2941525241550187
2019-09-23,1.1649714195404555
2019-09-24,0.8202138048980405
2019-09-25,0.8247148666849318
2019-09-26,0.6075498927422589
2019-09-27,0.22377266779201213
2019-09-28,0.22436164871428116
2019-09-29,0.2145130608017559
2019-09-30,0.1575530956202935
2019-10-01,-0.10127701003997719
2019-10-02,0.00037324880049277587
2019-10-03,-0.11106412946020144
2019-10-04,-0.38326974211106996
2019-10-05,-0.26802278659501555
2019-10-06,-0.16284152976626126
2019-10-07,-0.10700768009608674
2019-10-08,-0.25772238993676594
2019-10-09,-0.05465477525423473
2019-10-10,-0.07353630905986008
2019-10-11,-0.26370429932041034
2019-10-12,-0.07826286823073864
2019-10-13,0.0842965574538633
2019-10-14,0.18408135225982264
2019-10-15,0.0636426715038122
2019-10-16,0.2832144601769119
2019-10-17,0.2677146570509343
2019-10-18,0.06856400853850864
2019-10-19,0.23369704328015461
2019-10-20,0.36590321729412534
2019-10-21,0.42676973387772266
2019-10-22,0.2604796027793574
2019-10-23,0.4290014423100321
2019-10-24,0.35904056160718545
2019-10-25,0.10380809502043381
2019-10-26,0.2129840469908148
2019-10-27,0.2910134806236994
2019-10-28,0.30100846257629177
2019-10-29,0.08851029516039746
2019-10-30,0.21664934108850098
2019-10-31,0.11307259760202101
2019-11-01,-0.1683037828890488
2019-11-02,-0.07734094303520206
2019-11-03,-0.009383486026721954
2019-11-04,-0.0013529182472884482
2019-11-05,-0.20797419975906423
2019-11-06,-0.06659863064978228
2019-11-07,-0.15025360245088054
2019-11-08,-0.405862832697234
2019-11-09,-0.28426191819556457
2019-11-10,-0.18187094401089177
2019-11-11,-0.13675274732549697
2019-11-12,-0.30480371815815493
2019-11-13,-0.12454140041211653
2019-11-14,-0.17012041308168097
2019-11-15,-0.38952122866400685
2019-11-16,-0.2345374674860946
2019-11-17,-0.10242415142969524
2019-11-18,-0.03193608906637013
2019-11-19,-0.1795037006991131
2019-11-20,0.01598918124948251
2019-11-21,-0.019806097206686524
2019-11-22,-0.23489252408512
2019-11-23,-0.08092050116944138
2019-11-24,0.045153401435212404
2019-11-25,0.10501330767219497
2019-11-26,-0.057210219257054606
2019-11-27,0.1202605809871885
2019-11-28,0.06381553672754958
2019-11-29,-0.17375818654916958
2019-11-30,-0.04329508254715969
2019-12-01,0.059064123643928934
2019-12-02,0.09579438979826652
2019-12-03,-0.08823125507803486
2019-12-04,0.06943793436093146
2019-12-05,-0.004223011740625782
2019-12-06,-0.2559445360369601
2019-12-07,-0.1361929484727363
2019-12-08,-0.04086253473034851
2019-12-09,-0.007357206609220762
2019-12-10,-0.19080772038667607
2019-12-11,-0.02888781397706147
2019-12-12,-0.09485984584200707
2019-12-13,-0.33579351437706645
2019-12-14,-0.20258244202329656
2019-12-15,-0.09162017357059743
2019-12-16,-0.04086399994098072
2019-12-17,-0.20603323133638102
2019-12-18,-0.02540588934613175
2019-12-19,-0.07284501388270193
2019-12-20,-0.2959987776316527
2019-12-21,-0.14629971186813653
2019-12-22,-0.020625131532167912
2019-12-23,0.04265241532457767
2019-12-24,-0.11252230535112343
2019-12-25,0.07532409851759087
2019-12-26,0.032172359935982
2019-12-27,-0.18968759078280711
2019-12-28,-0.041656902546970964
2019-12-29,0.07950782274125051
2019-12-30,0.13563744560634677
2019-12-31,-0.02904619497875352
2020-01-01,0.147269961807606
2020-01-02,0.09095622000866686
2020-01-03,-0.14527188166452487
2020-01-04,-0.012368404927137422
2020-01-05,0.09336384889995204
2020-01-06,0.13420176189028932
2020-01-07,-0.04520834614901045
2020-01-08,0.11733691620366618
2020-01-09,0.048552948536158436
2020-01-10,-0.19855409732378715
2020-01-11,-0.07470931797138003
2020-01-12,0.023946888392264443
2020-01-13,0.05978467387976161
2020-01-14,-0.12256475567896882
2020-01-15,0.03909767060505087
2020-01-16,-0.02861905680570745
2020-01-17,-0.27287208419616077
2020-01-18,-0.1445988541953048
2020-01-19,-0.04019195650491311
2020-01-20,0.002436935892785652
2020-01-21,-0.17234255037136983
2020-01-22,-0.0026786926818315737
2020-01-23,-0.062267565068240244
2020-01-24,-0.2985576940395551
2020-01-25,-0.1627546387348782
2020-01-26,-0.051487425516555774
2020-01-27,-0.0028654889840939723
2020-01-28,-0.17267291775452884
2020-01-29,0.000835947919130664
2020-01-30,-0.056091612439461036
2020-01-31,-0.2909114428062952
2020-02-01,-0.15478897599757716
2020-02-02,-0.04426923242660247
2020-02-03,0.002661169338636221
2020-02-04,-0.16962658377633408
2020-02-05,0.0007935367403801019
2020-02-06,-0.059633813168438715
2020-02-07,-0.2981585816587049
2020-02-08,-0.16574035204745058
2020-02-09,-0.058726662617639896
2020-02-10,-0.014922785846888331
2020-02-11,-0.18979925871516712
2020-02-12,-0.021300698550529407
2020-02-13,-0.08288658344450553
2020-02-14,-0.32174761109449007
2020-02-15,-0.1888223205191781
2020-02-16,-0.08047542658838033
2020-02-17,-0.034566058320443044
2020-02-18,-0.20665227112089898
2020-02-19,-0.034795501052129446
2020-02-20,-0.0925958236546418
2020-02-21,-0.3274018576753266
2020-02-22,-0.19032025911427294
2020-02-23,-0.07788654143465185
2020-02-24,-0.028125713059779095
2020-02-25,-0.19674940581564937
2020-02-26,-0.02195345803252316
2020-02-27,-0.07744709163109359
2020-02-28,-0.31065777134152894
2020-02-29,-0.17273690095353714
2020-03-01,-0.06022825573678184
2020-03-02,-0.011127752902708885
2020-03-03,-0.18108128757233155
2020-03-04,-0.008184596254487642
2020-03-05,-0.06601620187832728
2020-03-06,-0.30184744469701186
2020-03-07,-0.16665453663554147
2020-03-08,-0.05679433202741736
2020-03-09,-0.010072145874263638
2020-03-10,-0.181948048676004
2020-03-11,-0.010345276193364533
2020-03-12,-0.06869149832492409
2020-03-13,-0.3041365837710285
2020-03-14,-0.16757152333522335
2020-03-15,-0.05530989571167179
2020-03-16,-0.005159957570975968
2020-03-17,-0.17263357948196728
2020-03-18,0.0042444874502229335
2020-03-19,-0.04810363716671731
2020-03-20,-0.2770238030043564
2020-03-21,-0.1336439632426173
2020-03-22,-0.014549094813531782
2020-03-23,0.042154839965466706
2020-03-24,-0.11935856578411957
2020-03-25,0.06256510585316784
2020-03-26,0.014032109328707187
2020-03-27,-0.21260268945693456
2020-03-28,-0.06873837155587774
2020-03-29,0.0488082473853007
2020-03-30,0.10174894370955212
2020-03-31,-0.06586631412772043
2020-04-01,0.10755937973521562
2020-04-02,0.048146461303056595
2020-04-03,-0.19166089944639905
2020-04-04,-0.0630962728025808
2020-04-05,0.03726386245296848
2020-04-06,0.07144255878243407
2020-04-07,-0.11613435256025699
2020-04-08,0.03656178878654202
2020-04-09,-0.043871768044132245
2020-04-10,-0.3044816717972391
2020-04-11,-0.19597414131568552
2020-04-12,-0.11439542971363496
2020-04-13,-0.09720532119237121
2020-04-14,-0.29948996902308533
2020-04-15,-0.1587775632583843
2020-04-16,-0.24808743583572113
2020-04-17,-0.5141560014809805
2020-04-18,-0.4074640592448149
2020-04-19,-0.3239973892211871
2020-04-20,-0.3011146177260895
2020-04-21,-0.4939761850886541
2020-04-22,-0.34028988772226043
2020-04-23,-0.41335736996992545
2020-04-24,-0.6602942266320132
2020-04-25,-0.5320482749352442
2020-04-26,-0.425077370177399
2020-04-27,-0.37741493330057585
2020-04-28,-0.5448695929199088
2020-04-29,-0.36582269789273564
2020-04-30,-0.4142547058774027
2020-05-01,-0.6379444840164663
2020-05-02,-0.48846671225077615
2020-05-03,-0.3628494146860045
2020-05-04,-0.2996204380738507
2020-05-05,-0.45498991002768807
2020-05-06,-0.2676330223538102
2020-05-07,-0.3117046740036616
2020-05-08,-0.5350304606239532
2020-05-09,-0.38909955784448563
2020-05-10,-0.2707217725589851
2020-05-11,-0.21807771184990196
2020-05-12,-0.38690910728717176
2020-05-13,-0.2153135161481276
2020-05-14,-0.2767746816519945
2020-05-15,-0.5183726624837649
2020-05-16,-0.39079878595140677
2020-05-17,-0.29003710208954236
2020-05-18,-0.25344060265160345
2020-05-19,-0.4359484867242105
2020-05-20,-0.2749078892871371
2020-05-21,-0.34313052344244366
2020-05-22,-0.5871275135039885
2020-05-23,-0.45714666361220063
2020-05-24,-0.3488730779815408
2020-05-25,-0.29952070813789733
2020-05-26,-0.4640605156790628
2020-05-27,-0.28004817246644037
2020-05-28,-0.3206814890534558
2020-05-29,-0.5330304825244272
2020-05-30,-0.3680644570477507
2020-05-31,-0.22233705130811654
2020-06-01,-0.13405713097624744
2020-06-02,-0.259291660271065
2020-06-03,-0.03676408782301463
2020-06-04,-0.04087908721010468
2020-06-05,-0.21991758601908443
2020-06-06,-0.0260272400664713
2020-06-07,0.14312958329590844
2020-06-08,0.24834138064869737
2020-06-09,0.1326794261615596
2020-06-10,0.3567314169520303
2020-06-11,0.3456049850576192
2020-06-12,0.1507561947622558
2020-06-13,0.32001702773509794
2020-06-14,0.4559590846693722
2020-06-15,0.5198640211114821
