ds,yhat
2019-09-19,1.6826340379632767
2019-09-20,1.5759013666025927
2019-09-21,1.5061830644185763
2019-09-22,1.4345424155992026
2019-09-23,1.3882584879228754
2019-09-24,1.2793156166519928
2019-09-25,1.1807319217133434
2019-09-26,0.9834288130472366
2019-09-27,0.8352376078423285
2019-09-28,0.7355208058561915
2019-09-29,0.6455678318550973
2019-09-30,0.5926354963572761
2019-10-01,0.4884419992486739
2019-10-02,0.40550583554527797
2019-10-03,0.23403123764337935
2019-10-04,0.12093581537900015
2019-10-05,0.06449734899722817
2019-10-06,0.02477884088572868
2019-10-07,0.027701281471427766
2019-10-08,-0.016427912569356884
2019-10-09,-0.03651752117311255
2019-10-10,-0.1438396097174513
2019-10-11,-0.19289814750315104
2019-10-12,-0.18677131250718138
2019-10-13,-0.16665512499252788
2019-10-14,-0.1077625528589715
2019-10-15,-0.10077081327114028
2019-10-16,-0.0754269950563595
2019-10-17,-0.14361174683203712
2019-10-18,-0.16026660845782983
2019-10-19,-0.12870909743800613
2019-10-20,-0.0901773121101399
2019-10-21,-0.019735243700602936
2019-10-22,-0.007731251406418352
2019-10-23,0.016580576602735042
2019-10-24,-0.05804304851501928
2019-10-25,-0.08578515331755139
2019-10-26,-0.06910950885802657
2019-10-27,-0.04833309817008144
2019-10-28,0.0024395757537562374
2019-10-29,-0.006171282074169809
2019-10-30,-0.0024708921197311995
2019-10-31,-0.09680082261407337
2019-11-01,-0.1425149080921552
2019-11-02,-0.14134289066851854
2019-11-03,-0.13298218823021643
2019-11-04,-0.09104768287624485
2019-11-05,-0.1045707855417203
2019-11-06,-0.10165643056184881
2019-11-07,-0.19259631436909772
2019-11-08,-0.2308426041981068
2019-11-09,-0.21836499224590653
2019-11-10,-0.19523176931832847
2019-11-11,-0.1355451987904846
2019-11-12,-0.12892293323819043
2019-11-13,-0.10413470120129087
2019-11-14,-0.17219322041528867
2019-11-15,-0.18730425473834983
2019-11-16,-0.15219941019284428
2019-11-17,-0.10769307155343995
2019-11-18,-0.028594473975111376
2019-11-19,-0.0051673314141505305
2019-11-20,0.033253124884246685
2019-11-21,-0.024813813177594055
2019-11-22,-0.033930596653954814
2019-11-23,0.0029360431995932718
2019-11-24,0.044864624596499966
2019-11-25,0.11706937180920593
2019-11-26,0.12943914935394726
2019-11-27,0.15291511032413252
2019-11-28,0.076407751108438
2019-11-29,0.04584829646287639
2019-11-30,0.0588508556882509
2019-12-01,0.07514417626312996
2019-12-02,0.12064241089640525
